"country","continent","year","life_exp","pop","gdp_per_cap","gdp","rich.poor"
"Honduras","Americas",2007,70.198,7483763,3548.330846,26554867097.0535,"Poor"
"Jamaica","Americas",1952,58.53,1426095,2898.530881,4133580396.7397,"Poor"
"Jamaica","Americas",1957,62.61,1535090,4756.525781,7301695161.15529,"Poor"
"Jamaica","Americas",1962,65.61,1665128,5246.107524,8735440529.22307,"Poor"
"Jamaica","Americas",1967,67.51,1861096,6124.703451,11398661093.8423,"Poor"
"Jamaica","Americas",1972,69,1997616,7433.889293,14850056193.9255,"Poor"
"Jamaica","Americas",1977,70.11,2156814,6650.195573,14343234914.5844,"Poor"
"Jamaica","Americas",1982,71.21,2298309,6068.05135,13946257030.1671,"Poor"
"Jamaica","Americas",1987,71.77,2326606,6351.237495,14776827263.292,"Poor"
"Jamaica","Americas",1992,71.766,2378618,7404.923685,17613484765.7673,"Poor"
"Jamaica","Americas",1997,72.262,2531311,7121.924704,18027806344.4069,"Poor"
"Jamaica","Americas",2002,72.047,2664659,6994.774861,18638689786.3374,"Poor"
"Jamaica","Americas",2007,72.567,2780132,7320.880262,20353013484.5546,"Poor"
"Mexico","Americas",1952,50.789,30144317,3478.125529,104845718511.969,"Poor"
"Mexico","Americas",1957,55.19,35015548,4131.546641,144668369722.174,"Poor"
"Mexico","Americas",1962,58.299,41121485,4581.609385,188402581601.137,"Poor"
"Mexico","Americas",1967,60.11,47995559,5754.733883,276201669610.826,"Poor"
"Mexico","Americas",1972,62.361,55984294,6809.40669,381219826098.527,"Poor"
"Mexico","Americas",1977,65.032,63759976,7674.929108,489353295727.781,"Poor"
"Mexico","Americas",1982,67.405,71640904,9611.147541,688551298314.617,"Poor"
"Mexico","Americas",1987,69.498,80122492,8688.156003,696116709845.12,"Poor"
"Mexico","Americas",1992,71.455,88111030,9472.384295,834621536788.274,"Poor"
"Mexico","Americas",1997,73.67,95895146,9767.29753,936636422664.789,"Poor"
"Mexico","Americas",2002,74.902,102479927,10742.44053,1100884521316.24,"Rich"
"Mexico","Americas",2007,76.195,108700891,11977.57496,1301973070171.29,"Rich"
"Nicaragua","Americas",1952,42.314,1165790,3112.363948,3628362766.93892,"Poor"
"Nicaragua","Americas",1957,45.432,1358828,3457.415947,4698033596.43012,"Poor"
"Nicaragua","Americas",1962,48.632,1590597,3634.364406,5780809121.09038,"Poor"
"Nicaragua","Americas",1967,51.884,1865490,4643.393534,8662204203.74166,"Poor"
"Nicaragua","Americas",1972,55.151,2182908,4688.593267,10234767751.2804,"Poor"
"Nicaragua","Americas",1977,57.47,2554598,5486.371089,14015472611.2172,"Poor"
"Nicaragua","Americas",1982,59.298,2979423,3470.338156,10339605319.764,"Poor"
"Nicaragua","Americas",1987,62.008,3344353,2955.984375,9885855212.48438,"Poor"
"Nicaragua","Americas",1992,65.843,4017939,2170.151724,8719537247.77683,"Poor"
"Nicaragua","Americas",1997,68.426,4609572,2253.023004,10385471754.5943,"Poor"
"Nicaragua","Americas",2002,70.836,5146848,2474.548819,12736126639.9725,"Poor"
"Nicaragua","Americas",2007,72.899,5675356,2749.320965,15603375234.6385,"Poor"
"Panama","Americas",1952,55.191,940080,2480.380334,2331755944.38672,"Poor"
"Panama","Americas",1957,59.201,1063506,2961.800905,3149893033.27293,"Poor"
"Panama","Americas",1962,61.817,1215725,3536.540301,4299460457.43322,"Poor"
"Panama","Americas",1967,64.071,1405486,4421.009084,6213666373.43482,"Poor"
"Panama","Americas",1972,66.216,1616384,5364.249663,8670687327.27859,"Poor"
"Panama","Americas",1977,68.681,1839782,5351.912144,9846351628.11261,"Poor"
"Panama","Americas",1982,70.472,2036305,7009.601598,14273686782.0154,"Poor"
"Panama","Americas",1987,71.523,2253639,7034.779161,15853852673.6169,"Poor"
"Panama","Americas",1992,72.462,2484997,6618.74305,16447556623.0208,"Poor"
"Panama","Americas",1997,73.738,2734531,7113.692252,19452611987.5538,"Poor"
"Panama","Americas",2002,74.712,2990875,7356.031934,22000972010.6022,"Poor"
"Panama","Americas",2007,75.537,3242173,9809.185636,31803076821.027,"Poor"
"Paraguay","Americas",1952,62.649,1555876,1952.308701,3037550252.47708,"Poor"
"Paraguay","Americas",1957,63.196,1770902,2046.154706,3623539461.16481,"Poor"
"Paraguay","Americas",1962,64.361,2009813,2148.027146,4317132882.3837,"Poor"
"Paraguay","Americas",1967,64.951,2287985,2299.376311,5260938508.92334,"Poor"
"Paraguay","Americas",1972,65.815,2614104,2523.337977,6596267899.02761,"Poor"
"Paraguay","Americas",1977,66.353,2984494,3248.373311,9694750656.43963,"Poor"
"Paraguay","Americas",1982,66.874,3366439,4258.503604,14335992614.1462,"Poor"
"Paraguay","Americas",1987,67.378,3886512,3998.875695,15541678375.1258,"Poor"
"Paraguay","Americas",1992,68.225,4483945,4196.411078,18816476471.1427,"Poor"
"Paraguay","Americas",1997,69.4,5154123,4247.400261,21891623375.4261,"Poor"
"Paraguay","Americas",2002,70.755,5884491,3783.674243,22264997029.8653,"Poor"
"Paraguay","Americas",2007,71.752,6667147,4172.838464,27820927446.7422,"Poor"
"Peru","Americas",1952,43.902,8025700,3758.523437,30164781548.3309,"Poor"
"Peru","Americas",1957,46.263,9146100,4245.256698,38827542285.5778,"Poor"
"Peru","Americas",1962,49.096,10516500,4957.037982,52130689937.703,"Poor"
"Peru","Americas",1967,51.445,12132200,5788.09333,70222305898.226,"Poor"
"Peru","Americas",1972,55.448,13954700,5937.827283,82860598386.0801,"Poor"
"Peru","Americas",1977,58.447,15990099,6281.290855,100438462619.245,"Poor"
"Peru","Americas",1982,61.406,18125129,6434.501797,116626175121.357,"Poor"
"Peru","Americas",1987,64.134,20195924,6360.943444,128465130363.322,"Poor"
"Peru","Americas",1992,66.458,22430449,4446.380924,99734320550.3549,"Poor"
"Peru","Americas",1997,68.386,24748122,5838.347657,144488140093.85,"Poor"
"Peru","Americas",2002,69.906,26769436,5909.020073,158181134666.889,"Poor"
"Peru","Americas",2007,71.421,28674757,7408.905561,212448566597.624,"Poor"
"Puerto Rico","Americas",1952,64.28,2227000,3081.959785,6863524441.195,"Poor"
"Puerto Rico","Americas",1957,68.54,2260000,3907.156189,8830172987.14,"Poor"
"Puerto Rico","Americas",1962,69.62,2448046,5108.34463,12505462638.093,"Poor"
"Puerto Rico","Americas",1967,71.1,2648961,6929.277714,18355386422.5552,"Poor"
"Puerto Rico","Americas",1972,72.16,2847132,9123.041742,25974504080.9839,"Poor"
"Puerto Rico","Americas",1977,73.44,3080828,9770.524921,30101306751.3146,"Poor"
"Puerto Rico","Americas",1982,73.75,3279001,10330.98915,33875323753.8391,"Rich"
"Puerto Rico","Americas",1987,74.63,3444468,12281.34191,42302689206.0539,"Rich"
"Puerto Rico","Americas",1992,73.911,3585176,14641.58711,52492666708.6814,"Rich"
"Puerto Rico","Americas",1997,74.917,3759430,16999.4333,63908179531.019,"Rich"
"Puerto Rico","Americas",2002,77.778,3859606,18855.60618,72775210745.9651,"Rich"
"Puerto Rico","Americas",2007,78.746,3942491,19328.70901,76203261313.5439,"Rich"
"Trinidad and Tobago","Americas",1952,59.1,662850,3023.271928,2003975797.4748,"Poor"
"Trinidad and Tobago","Americas",1957,61.8,764900,4100.3934,3136390911.66,"Poor"
"Trinidad and Tobago","Americas",1962,64.9,887498,4997.523971,4435292529.21456,"Poor"
"Trinidad and Tobago","Americas",1967,65.4,960155,5621.368472,5397385045.23316,"Poor"
"Trinidad and Tobago","Americas",1972,65.9,975199,6619.551419,6455379924.25738,"Poor"
"Trinidad and Tobago","Americas",1977,68.3,1039009,7899.554209,8207707919.13888,"Poor"
"Trinidad and Tobago","Americas",1982,68.832,1116479,9119.528607,10181762179.6148,"Poor"
"Trinidad and Tobago","Americas",1987,69.582,1191336,7388.597823,8802302576.06153,"Poor"
"Trinidad and Tobago","Americas",1992,69.862,1183669,7370.990932,8724813465.48951,"Poor"
"Trinidad and Tobago","Americas",1997,69.465,1138101,8792.573126,10006836267.2737,"Poor"
"Trinidad and Tobago","Americas",2002,68.976,1101832,11460.60023,12627656072.6214,"Rich"
"Trinidad and Tobago","Americas",2007,69.819,1056608,18008.50924,19027934931.0579,"Rich"
"United States","Americas",1952,68.44,157553000,13990.48208,2204242423150.24,"Rich"
"United States","Americas",1957,69.49,171984000,14847.12712,2553468310606.08,"Rich"
"United States","Americas",1962,70.21,186538000,16173.14586,3016906282432.68,"Rich"
"United States","Americas",1967,70.76,198712000,19530.36557,3880918003145.84,"Rich"
"United States","Americas",1972,71.34,209896000,21806.03594,4576999719662.24,"Rich"
"United States","Americas",1977,73.38,220239000,24072.63213,5301732427679.07,"Rich"
"United States","Americas",1982,74.65,232187835,25009.55914,5806915391021.06,"Rich"
"United States","Americas",1987,75.02,242803533,29884.35041,7256025860958,"Rich"
"United States","Americas",1992,76.09,256894189,32003.93224,8221624217605.75,"Rich"
"United States","Americas",1997,76.81,272911760,35767.43303,9761353098899.43,"Rich"
"United States","Americas",2002,77.31,287675526,39097.09955,11247278678120.6,"Rich"
"United States","Americas",2007,78.242,301139947,42951.65309,12934458535085,"Rich"
"Uruguay","Americas",1952,66.071,2252965,5716.766744,12879675387.396,"Poor"
"Uruguay","Americas",1957,67.044,2424959,6150.772969,14915372268.1333,"Poor"
"Uruguay","Americas",1962,68.253,2598466,5603.357717,14560134513.4621,"Poor"
"Uruguay","Americas",1967,68.468,2748579,5444.61962,14964967150.52,"Poor"
"Uruguay","Americas",1972,68.673,2829526,5703.408898,16137943765.5223,"Poor"
"Uruguay","Americas",1977,69.481,2873520,6504.339663,18690350108.4238,"Poor"
"Uruguay","Americas",1982,70.805,2953997,6920.223051,20442318131.9848,"Poor"
"Uruguay","Americas",1987,71.918,3045153,7452.398969,22693695077.6473,"Poor"
"Uruguay","Americas",1992,72.752,3149262,8137.004775,25625559931.7261,"Poor"
"Uruguay","Americas",1997,74.223,3262838,9230.240708,30116780131.2093,"Poor"
"Uruguay","Americas",2002,75.307,3363085,7727.002004,25986564534.6223,"Poor"
"Uruguay","Americas",2007,76.384,3447496,10611.46299,36582976212.173,"Rich"
"Venezuela","Americas",1952,55.088,5439568,7689.799761,41829188706.3432,"Poor"
"Venezuela","Americas",1957,57.907,6702668,9802.466526,65702678704.8914,"Poor"
"Venezuela","Americas",1962,60.77,8143375,8422.974165,68591437240.9069,"Poor"
"Venezuela","Americas",1967,63.479,9709552,9541.474188,92643439785.0438,"Poor"
"Venezuela","Americas",1972,65.712,11515649,10505.25966,120974882898.419,"Rich"
"Venezuela","Americas",1977,67.456,13503563,13143.95095,177490169722.235,"Rich"
"Venezuela","Americas",1982,68.557,15620766,11152.41011,174209188664.344,"Rich"
"Venezuela","Americas",1987,70.19,17910182,9883.584648,177016799858.086,"Poor"
"Venezuela","Americas",1992,71.15,20265563,10733.92631,217529059872.663,"Rich"
"Venezuela","Americas",1997,72.146,22374398,10165.49518,227446835024.402,"Rich"
"Venezuela","Americas",2002,72.766,24287670,8605.047831,208996562053.544,"Poor"
"Venezuela","Americas",2007,73.747,26084662,11415.80569,297777432881.327,"Rich"
